"Date","Price","Open","High","Low","Change %"
"May 14, 2009","146.19","144.61","146.38","143.36","1.08%"
"May 13, 2009","144.63","147.08","148.15","144.14","-1.83%"
"May 12, 2009","147.32","147.11","149.51","146.25","-0.12%"
"May 11, 2009","147.50","150.27","150.47","146.69","-1.87%"
"May 08, 2009","150.31","149.19","150.39","148.13","0.72%"
"May 07, 2009","149.23","148.71","150.92","148.04","0.27%"
"May 06, 2009","148.83","148.97","149.38","146.92","-0.19%"
"May 05, 2009","149.11","148.68","149.91","147.76","0.28%"
"May 04, 2009","148.70","148.12","149.14","147.30","0.55%"
"May 01, 2009","147.88","145.65","148.41","145.57","1.42%"
"Apr 30, 2009","145.81","143.99","147.01","143.60","1.28%"
"Apr 29, 2009","143.97","141.00","144.59","140.81","2.07%"
"Apr 28, 2009","141.05","141.36","142.00","138.96","-0.16%"
"Apr 27, 2009","141.28","141.95","142.14","140.10","-0.95%"
"Apr 24, 2009","142.63","144.30","144.39","141.09","-1.23%"
"Apr 23, 2009","144.41","141.82","144.61","141.03","1.77%"
"Apr 22, 2009","141.90","144.74","145.00","140.56","-1.99%"
"Apr 21, 2009","144.78","142.37","145.22","141.44","1.73%"
"Apr 20, 2009","142.32","146.57","147.11","141.95","-2.97%"
"Apr 17, 2009","146.68","148.18","148.84","146.13","-1.07%"
"Apr 16, 2009","148.26","148.84","149.87","146.49","-0.50%"
"Apr 15, 2009","149.00","147.10","149.30","145.79","1.23%"
"Apr 14, 2009","147.19","148.63","149.32","146.96","-0.92%"
"Apr 13, 2009","148.55","146.93","148.88","146.35","0.99%"
"Apr 10, 2009","147.09","147.30","147.63","146.53","-0.10%"
"Apr 09, 2009","147.24","146.58","148.06","146.26","0.44%"
"Apr 08, 2009","146.60","148.06","148.61","145.68","-0.99%"
"Apr 07, 2009","148.06","148.98","149.08","145.78","-0.60%"
"Apr 06, 2009","148.95","148.86","151.56","147.61","0.09%"
"Apr 03, 2009","148.81","146.68","149.00","145.50","1.45%"
"Apr 02, 2009","146.68","142.55","146.97","142.23","2.83%"
"Apr 01, 2009","142.64","141.59","142.88","140.52","0.72%"
"Mar 31, 2009","141.62","138.78","142.59","138.53","2.04%"
"Mar 30, 2009","138.79","139.62","140.49","135.68","-1.04%"
"Mar 27, 2009","140.25","142.75","143.00","138.98","-1.79%"
"Mar 26, 2009","142.80","142.07","143.65","141.67","0.61%"
"Mar 25, 2009","141.94","143.89","144.63","140.93","-1.12%"
"Mar 24, 2009","143.55","141.24","145.12","141.00","1.50%"
"Mar 23, 2009","141.43","137.98","141.89","137.64","1.90%"
"Mar 20, 2009","138.79","137.06","139.02","136.54","1.23%"
"Mar 19, 2009","137.10","137.35","138.05","135.21","-0.16%"
"Mar 18, 2009","137.32","138.43","139.07","135.05","-0.90%"
"Mar 17, 2009","138.57","138.18","139.41","137.88","0.41%"
"Mar 16, 2009","138.01","136.82","140.08","135.92","0.59%"
"Mar 13, 2009","137.20","136.09","138.39","135.25","0.74%"
"Mar 12, 2009","136.19","134.86","136.59","131.44","1.02%"
"Mar 11, 2009","134.82","135.67","136.31","133.86","-0.60%"
"Mar 10, 2009","135.63","136.06","137.07","135.09","-0.32%"
"Mar 09, 2009","136.06","138.57","139.35","135.89","-1.82%"
"Mar 06, 2009","138.58","138.47","140.21","137.22","0.00%"
"Mar 05, 2009","138.58","140.51","141.55","137.98","-1.28%"
"Mar 04, 2009","140.38","137.91","140.88","137.32","1.61%"
"Mar 03, 2009","138.15","137.03","138.72","136.00","1.11%"
"Mar 02, 2009","136.64","139.59","139.85","135.50","-2.13%"
"Feb 27, 2009","139.61","141.04","141.19","136.67","-0.82%"
"Feb 26, 2009","140.77","138.28","141.74","138.21","1.55%"
"Feb 25, 2009","138.62","139.90","141.88","137.59","-1.00%"
"Feb 24, 2009","140.02","136.86","140.68","136.21","2.23%"
"Feb 23, 2009","136.97","134.46","139.17","133.76","1.75%"
"Feb 20, 2009","134.62","134.60","135.38","132.70","-0.06%"
"Feb 19, 2009","134.70","133.23","136.36","132.85","0.99%"
"Feb 18, 2009","133.38","131.56","133.74","130.34","1.36%"
"Feb 17, 2009","131.59","131.03","132.26","129.63","0.50%"
"Feb 16, 2009","130.94","130.30","131.52","129.58","-1.01%"
"Feb 13, 2009","132.28","129.82","133.94","129.15","2.12%"
"Feb 12, 2009","129.54","130.05","130.26","127.08","-0.47%"
"Feb 11, 2009","130.15","131.57","131.85","128.82","-0.69%"
